Date,Product,Brand,Price,List_Price,Unit
2026-05-10,lomito de atún al natural carrefour classic 170 grs,carrefour,2898.0,3150.0,1.0 un
2026-05-10,puré de tomate arcor brik 520 g.,arcor,1099.0,1099.0,1.0 un
2026-05-10,caldo knorr de verdura deshidratado 12 cubos,knorr,2810.0,2810.0,1.0 un
2026-05-10,fideos tallarin n5 lucchetti 500 g.,matarazzo,1499.0,1499.0,1.0 un
2026-05-10,fideos tirabuzon n28 lucchetti 500 g.,luchetti,1499.0,1499.0,1.0 un
2026-05-10,aceite de girasol carrefour classic  alto omega pet 900 cc.,carrefour,3055.0,3250.0,1.0 un
2026-05-10,mayonesa clásica hellmanns sin tacc doypack 475 g.,hellmanns,2889.0,2889.0,1.0 un
2026-05-10,aceite de girasol alto omega carrefour classic pet 1.5 lts,carrefour,5029.0,5350.0,1.0 un
2026-05-10,puré de tomate carrefour classic 520 g.,carrefour,791.1,879.0,1.0 un
2026-05-10,aceite de girasol natura 1.5 l.,natura,6639.0,6639.0,1.0 un
2026-05-10,puré de tomate carrefour classic tetra 520 grs,carrefour,817.47,879.0,1.0 un
2026-05-10,aceite de girasol carrefour classic pet 900 ml,carrefour,3055.0,3250.0,1.0 un
2026-05-10,lentejas carrefour classic 400 g.,carrefour,1702.0,1850.0,1.0 un
2026-05-10,puré de tomate la campagnola tetra 530 g.,la campagnola,1159.0,1159.0,1.0 un
2026-05-10,arroz largo fino 00000 carrefour classic en bolsa 1 kg.,carrefour,1242.0,1350.0,1.0 un
2026-05-10,arroz parboil carrefour classic en bolsa 1 kg.,carrefour,1870.6,1990.0,1.0 un
2026-05-10,choclo amarillo en granos carrefour classic 300 grs,carrefour,1069.5,1150.0,1.0 un
2026-05-10,garbanzos secos remojados carrefour classic en lata 300 g.,carrefour,777.0,1050.0,1.0 un
2026-05-10,fideos tallarines don vicente en bolsa 500 g.,don vicente,3399.0,3399.0,1.0 un
2026-05-10,fideos tirabuzones n28 matarazzo 500 g.,matarazzo,1849.0,1849.0,1.0 un
2026-05-10,fideos spaghetti n3 matarazzo 500 g.,matarazzo,1849.0,1849.0,1.0 un
2026-05-10,fideos spaghetti n7 lucchetti 500 g.,lucchetti,1499.0,1499.0,1.0 un
2026-05-10,fideos mostacholes n52 lucchetti rayado 500 g.,lucchetti,1499.0,1499.0,1.0 un
2026-05-10,fideos mostacholes n52 matarazzo rayado 500 g.,matarazzo,1849.0,1849.0,1.0 un
2026-05-10,arroz parboil gallo oro en bolsa 1 kg.,gallo,2500.0,2500.0,1.0 un
2026-05-10,mayonesa liviana hellmanns dp 475 g,hellmanns,2099.0,2859.0,1.0 un
2026-05-10,polenta instantánea presto pronta bolsa 730 g.,presto pronta,2299.0,2299.0,1.0 un
2026-05-10,harina leudante pureza con vitamina d 1 kg.,pureza,1800.0,1800.0,1.0 un
2026-05-10,caldo de verdura maggi 12 uni,maggi,1296.75,1729.0,1.0 un
2026-05-10,harina de trigo morixe 000 1 kg.,morixe,999.0,999.0,1.0 un
2026-05-10,puré de papas instantáneo carrefour classic 100 g.,carrefour,967.5,1290.0,1.0 un
2026-05-10,fideos tirabuzones favorita fortificado 500 g.,favorita,965.0,965.0,1.0 un
2026-05-10,fideos spaghetti fortificado favorita 500 g.,favorita,965.0,965.0,1.0 un
2026-05-10,fideos coditos lucchetti 500 g.,lucchetti,1499.0,1499.0,1.0 un
2026-05-10,aceite en aerosol carrefour classic girasol 150 cc.,carrefour,3539.9,3890.0,1.0 un
2026-05-10,mayonesa natura 475 g.,natura,3039.0,3039.0,1.0 un
2026-05-10,lomito de atún en aceite carrefour classic 170 grs,carrefour,2898.0,3150.0,1.0 un
2026-05-10,arroz largo fino molinos ala 1 kg.,molinos ala,1790.0,1790.0,1.0 un
2026-05-10,vinagre de alcohol carrefour classic 1 l.,carrefour,1305.0,1450.0,1.0 un
2026-05-10,harina de trigo 000 caserita x 1 kg,caserita,899.0,899.0,1.0 un
2026-05-10,aceitunas verdes descarozadas nucete dp 220 grs,nucete,1949.0,1949.0,1.0 un
2026-05-10,fideo tirabuzones bulnez en paquete 500 g.,bulnez,799.0,799.0,1.0 un
2026-05-10,fideo spaghetti bulnez en paquete 500 g.,bulnez,799.0,799.0,1.0 un
2026-05-10,atún en trozos al natural bulnez en lata 170 g.,bulnez,2708.0,2708.0,1.0 un
2026-05-10,tomate perita entero bulnez en lata 400 g.,bulnez,1263.0,1263.0,1.0 un
2026-05-10,puré de tomates bulnez 520 g.,bulnez,649.0,778.0,1.0 un
2026-05-10,salsa pizza knorr 340 g.,knorr,1087.5,1450.0,1.0 un
2026-05-10,avena instantanea carrefour classic pouch 300 g.,carrefour,1385.7,1490.0,1.0 un
2026-05-10,orégano el mercado 50 g.,el mercado,929.0,929.0,1.0 un
2026-05-10,provenzal el mercado 50 g.,el mercado,829.0,929.0,1.0 un
2026-05-10,caldo knorr de gallina deshidratado 12 cubos.,knorr,2810.0,2810.0,1.0 un
2026-05-10,polenta instantánea presto pronta en bolsa 490 g.,presto pronta,1599.0,1599.0,1.0 un
2026-05-10,harina leudante blancaflor 1 kg.,blancaflor,2049.0,2049.0,1.0 un
2026-05-10,choclo amarillo cremoso carrefour classic 300 grs,carrefour,909.09,999.0,1.0 un
2026-05-10,puré de papas maggi original 125 grs,maggi,2025.0,2700.0,1.0 un
2026-05-10,fideos cinta caserito don vicente en bolsa 500 g.,don vicente,3399.0,3399.0,1.0 un
2026-05-10,fideos tallarines n5 matarazzo 500 g.,matarazzo,1849.0,1849.0,1.0 un
2026-05-10,avena instantanea morixe 400 g.,morixe,2195.0,2195.0,1.0 un
2026-05-10,fideos guiseros tirabuzon lucchetti 3 vegetales 500 g.,luchetti,1919.0,1919.0,1.0 un
2026-05-10,fideos integrales tirabuzon matarazzo 500 g.,matarazzo,2249.0,2249.0,1.0 un
2026-05-10,fideos tirabuzon matarazzo 3 vegetales 500 g.,matarazzo,2149.0,2149.0,1.0 un
2026-05-10,fideos tirabuzón terrabusi 3 vegetales 500 g.,terrabusi,1349.0,1349.0,1.0 un
2026-05-10,papas fritas carrefour classic corte tradicional 150 g.,carrefour,2572.1,2890.0,1.0 un
2026-05-10,harina morixe para pizza 1 kg.,morixe,1859.0,1859.0,1.0 un
2026-05-10,ketchup hellmanns regular doypack 500 g.,hellmanns,4199.0,4199.0,1.0 un
