Date,Product,Brand,Price,List_Price,Unit
2026-06-21,aceite de girasol alto omega carrefour classic pet 1.5 lts,carrefour,5066.6,5390.0,1.0 un
2026-06-21,puré de tomate carrefour classic 520 g.,carrefour,719.1,799.0,1.0 un
2026-06-21,lomito de atún al natural carrefour classic 170 grs,carrefour,2898.0,3150.0,1.0 un
2026-06-21,puré de tomate arcor brik 520 g.,arcor,1110.0,1110.0,1.0 un
2026-06-21,lentejas carrefour classic 400 g.,carrefour,1462.8,1590.0,1.0 un
2026-06-21,tomate perita entero carrefour classic en lata 400 g.,carrefour,845.06,1150.0,1.0 un
2026-06-21,caldo knorr de verdura deshidratado 12 cubos,knorr,2990.0,2990.0,1.0 un
2026-06-21,arvejas secas remojadas carrefour classic en lata 300 g.,carrefour,631.01,709.0,1.0 un
2026-06-21,fideos tallarines don vicente en bolsa 500 g.,don vicente,3245.0,3245.0,1.0 un
2026-06-21,fideos tallarin n5 lucchetti 500 g.,matarazzo,1489.0,1489.0,1.0 un
2026-06-21,fideos tirabuzon n28 lucchetti 500 g.,luchetti,1429.0,1429.0,1.0 un
2026-06-21,fideos mostacholes n52 lucchetti rayado 500 g.,lucchetti,1489.0,1489.0,1.0 un
2026-06-21,arroz parboil gallo oro en bolsa 1 kg,gallo,2725.0,2725.0,1.0 un
2026-06-21,mayonesa liviana hellmanns dp 475 g,hellmanns,2144.25,2859.0,1.0 un
2026-06-21,aceite de girasol carrefour classic  alto omega pet 900 cc.,carrefour,3092.6,3290.0,1.0 un
2026-06-21,polenta instantánea presto pronta bolsa 730 g.,presto pronta,2299.0,2299.0,1.0 un
2026-06-21,lomito de atún en aceite carrefour classic 170 grs,carrefour,2898.0,3150.0,1.0 un
2026-06-21,arroz largo fino molinos ala 1 kg.,molinos ala,1950.0,1950.0,1.0 un
2026-06-21,aceite de girasol natura 1.5 l.,natura,6975.0,6975.0,1.0 un
2026-06-21,choclo en granos carrefour classic en lata 280 grs,carrefour,920.7,1150.0,1.0 un
2026-06-21,puré de tomate carrefour classic tetra 520 grs,carrefour,743.07,799.0,1.0 un
