Date,Product,Brand,Price,List_Price,Unit
2026-05-31,aceite de girasol alto omega carrefour classic pet 1.5 lts,carrefour,5029.0,5350.0,1.0 un
2026-05-31,puré de tomate carrefour classic 520 g.,carrefour,719.1,799.0,1.0 un
2026-05-31,lomito de atún al natural carrefour classic 170 grs,carrefour,2898.0,3150.0,1.0 un
2026-05-31,puré de tomate arcor brik 520 g.,arcor,1110.0,1110.0,1.0 un
2026-05-31,lentejas carrefour classic 400 g.,carrefour,1462.8,1590.0,1.0 un
2026-05-31,tomate perita entero carrefour classic en lata 400 g.,carrefour,901.46,1150.0,1.0 un
2026-05-31,caldo knorr de verdura deshidratado 12 cubos,knorr,2839.0,2839.0,1.0 un
2026-05-31,choclo amarillo en granos carrefour classic 300 grs,carrefour,1199.7,1290.0,1.0 un
2026-05-31,arvejas secas remojadas carrefour classic en lata 300 g.,carrefour,631.01,709.0,1.0 un
2026-05-31,fideos spaghetti n3 matarazzo 500 g.,matarazzo,1899.0,1899.0,1.0 un
2026-05-31,fideos tallarin n5 lucchetti 500 g.,matarazzo,990.0,1599.0,1.0 un
2026-05-31,fideos tirabuzon n28 lucchetti 500 g.,luchetti,990.0,1599.0,1.0 un
2026-05-31,fideos mostacholes n52 lucchetti rayado 500 g.,lucchetti,990.0,1599.0,1.0 un
2026-05-31,arroz parboil gallo oro en bolsa 1 kg.,gallo,2725.0,2725.0,1.0 un
2026-05-31,mayonesa liviana hellmanns dp 475 g,hellmanns,2859.0,2859.0,1.0 un
2026-05-31,aceite de girasol carrefour classic  alto omega pet 900 cc.,carrefour,3092.6,3290.0,1.0 un
2026-05-31,polenta instantánea presto pronta bolsa 730 g.,presto pronta,1490.0,2299.0,1.0 un
2026-05-31,mayonesa clásica hellmanns sin tacc doypack 475 g.,hellmanns,2889.0,2889.0,1.0 un
2026-05-31,lomito de atún en aceite carrefour classic 170 grs,carrefour,2898.0,3150.0,1.0 un
2026-05-31,arroz largo fino molinos ala 1 kg.,molinos ala,1342.5,1790.0,1.0 un
2026-05-31,aceite de girasol natura 1.5 l.,natura,6975.0,6975.0,1.0 un
2026-05-31,puré de tomate carrefour classic tetra 520 grs,carrefour,743.07,799.0,1.0 un
2026-05-31,harina leudante bulnez 1 kg,bulnez,1172.08,1288.0,1.0 un
2026-05-31,orégano el mercado 50 g.,el mercado,929.0,929.0,1.0 un
2026-05-31,puré de tomate la campagnola tetra 530 g.,la campagnola,1219.0,1219.0,1.0 un
2026-05-31,polenta instantánea presto pronta en bolsa 490 g.,presto pronta,1039.0,1599.0,1.0 un
2026-05-31,arroz largo fino 00000 carrefour classic en bolsa 1 kg.,carrefour,1242.0,1350.0,1.0 un
2026-05-31,arroz parboil carrefour classic en bolsa 1 kg.,carrefour,1588.6,1950.0,1.0 un
2026-05-31,harina leudante blancaflor 1 kg.,blancaflor,2129.0,2129.0,1.0 un
2026-05-31,garbanzos secos remojados carrefour classic en lata 300 g.,carrefour,806.6,1090.0,1.0 un
2026-05-31,fideos tallarines don vicente en bolsa 500 g.,don vicente,2624.25,3499.0,1.0 un
2026-05-31,fideos tirabuzones n28 matarazzo 500 g.,matarazzo,1899.0,1899.0,1.0 un
2026-05-31,fideos tallarines n5 matarazzo 500 g.,matarazzo,1899.0,1899.0,1.0 un
2026-05-31,fideos spaghetti n7 lucchetti 500 g.,lucchetti,990.0,1599.0,1.0 un
2026-05-31,fideos mostacholes n52 matarazzo rayado 500 g.,matarazzo,1899.0,1899.0,1.0 un
2026-05-31,fideos tirabuzón terrabusi 3 vegetales 500 g.,terrabusi,1349.0,1349.0,1.0 un
2026-05-31,mostaza savora oiginal doypack 500 g.,savora,2899.0,2899.0,1.0 un
