Date,Product,Brand,Price,List_Price,Unit
2026-03-29,papas fritas carrefour classic corte tradicional 150 g.,carrefour,1771.1,2590.0,1.0 un
2026-03-29,ketchup hellmanns regular doypack 500 g.,hellmanns,3995.0,3995.0,1.0 un
2026-03-29,mostaza savora original doypack 250 g.,savora,1250.0,1565.0,1.0 un
2026-03-29,aceite de girasol legitimo 900 cc.,legitimo,3329.0,3329.0,1.0 un
2026-03-29,ketchup hellmanns regular doypack 250 g.,hellmanns,2270.0,2270.0,1.0 un
2026-03-29,atún al natural la campagnola lomitos 170 g.,la campagnola,5535.0,5535.0,1.0 un
2026-03-29,choclo en granos arcor amarillo lata 300 g.,arcor,1720.0,1720.0,1.0 un
2026-03-29,polenta instantánea presto pronta bolsa 730 g.,presto pronta,2189.0,2189.0,1.0 un
2026-03-29,harina leudante pureza con vitamina d 1 kg.,pureza,1689.0,1689.0,1.0 un
2026-03-29,esencia de vainilla alicante pet 100 cc.,alicante,1919.0,1919.0,1.0 un
2026-03-29,fideos cinta tallarin carrefour classic 500 g.,carrefour,909.09,1290.0,1.0 un
2026-03-29,fideos mostachol rayado carrefour classic 500 g.,carrefour,909.09,1290.0,1.0 un
2026-03-29,fideos tirabuzones carrefour classic 500 g.,carrefour,909.09,1290.0,1.0 un
2026-03-29,fideos guiseros moño carrefour classic 500 g.,carrefour,1292.7,1790.0,1.0 un
2026-03-29,harina 0000 chacabuco 1 kg.,chacabuco,1289.0,1289.0,1.0 un
2026-03-29,tomate triturado don francisco botella 950 g.,don francisco,2600.0,2600.0,1.0 un
2026-03-29,tomate triturado carrefour 970 cc.,carrefour,2222.7,2390.0,1.0 un
2026-03-29,vinagre de alcohol casalta 1 l.,casalta,1565.0,1565.0,1.0 un
2026-03-29,harina integral pureza 1 kg.,pureza,1799.0,1799.0,1.0 un
2026-03-29,harina de trigo morixe 0000 1 kg.,morixe,1299.0,1299.0,1.0 un
2026-03-29,puré de papas instantáneo carrefour classic 100 g.,carrefour,1161.0,1290.0,1.0 un
2026-03-29,mostaza natura 250 g.,natura,1029.0,1029.0,1.0 un
2026-03-29,sal fina dos anclas en paquete 500 grs,dos anclas,1429.0,1429.0,1.0 un
2026-03-29,atún bulnez en aceite desmenuzado 170 g.,bulnez,1010.0,1190.0,1.0 un
2026-03-29,fideos spaghetti fortificado favorita 500 g.,favorita,965.0,965.0,1.0 un
2026-03-29,duraznos amarillos en mitades carrefour 820 g.,carrefour,2447.9,2690.0,1.0 un
2026-03-29,aceite en aerosol natura 120 cc.,natura,4135.0,4135.0,1.0 un
2026-03-29,mostaza natura 500 g.,natura,2035.0,2035.0,1.0 un
2026-03-29,ketchup natura 250 cc.,natura,1600.0,1600.0,1.0 un
2026-03-29,harina pureza especial para pizzas 1 kg.,pureza,1980.0,1980.0,1.0 un
2026-03-29,pan rallado carrefour classic 1 kg.,carrefour,2294.4,2390.0,1.0 un
2026-03-29,aceite de oliva oliovita extra virgen 500 cc.,oliovita,13259.0,13259.0,1.0 un
2026-03-29,pimentón 50 g.,genérico,999.0,1199.0,1.0 un
2026-03-29,puré de tomate salsati 520 g.,bc,1265.0,1265.0,1.0 un
2026-03-29,aceite de girasol natura 900 cc.,natura,3999.0,3999.0,1.0 un
2026-03-29,aceite en aerosol carrefour classic girasol 150 cc.,carrefour,3539.9,3890.0,1.0 un
2026-03-29,sal gruesa dos anclas caja 500 g.,dos anclas,1349.0,1349.0,1.0 un
2026-03-29,aceite de girasol cocinero 900 cc.,cocinero,3705.0,3705.0,1.0 un
2026-03-29,arroz molinos ala parboil bolsa 1 kg.,molinos ala,2100.0,2100.0,1.0 un
2026-03-29,arroz molinos ala doble carolina bolsa 1 kg.,molinos ala,3250.0,3250.0,1.0 un
2026-03-29,vinagre de alcohol carrefour classic 1 l.,carrefour,1431.0,1590.0,1.0 un
2026-03-29,vinagre de alcohol alcazar 1 l.,alcazar,1230.0,1230.0,1.0 un
2026-03-29,fideos moños matarazzo 500 g.,matarazzo,2409.0,2409.0,1.0 un
2026-03-29,mayonesa natura 950 g.,natura,5569.0,5569.0,1.0 un
2026-03-29,tomate perita la campagnola 400 g.,la campagnola,1419.0,1419.0,1.0 un
2026-03-29,pate de foie swift lata 90 g.,swift,1265.0,1265.0,1.0 un
2026-03-29,aceite de girasol cocinero 1.5 l.,cocinero,5865.0,5865.0,1.0 un
2026-03-29,paté de foie bulnez en lata 90 grs,bulnez,610.0,849.0,1.0 un
2026-03-29,arroz largo fino bulnez 1 kg,bulnez,1190.0,1190.0,1.0 un
2026-03-29,arroz blanco shangrila 1 kg,shangrila,1050.0,1050.0,1.0 un
2026-03-29,maíz pisingallo bulnez 400 grs,bulnez,719.0,719.0,1.0 un
2026-03-29,aceite de girasol carrefour classic pet 900 ml,carrefour,2998.6,3190.0,1.0 un
2026-03-29,aceite de oliva extra virgen carrefour extra  en botella 500 ml,carrefour,11030.8,15190.0,1.0 un
2026-03-29,papas fritas bulnez sabor original en tubo 100 grs,bulnez,2190.0,2190.0,1.0 un
2026-03-29,papas fritas bulnez sabor queso y cebolla en tubo 100 grs,bulnez,2190.0,2190.0,1.0 un
2026-03-29,papas fritas carrefour classic en bolsa 250 grs,carrefour,3026.8,4290.0,1.0 un
2026-03-29,tomate perita salsati pelado 400 grs,salsati,1639.0,1639.0,1.0 un
2026-03-29,lentejas secas carrefour classic remojadas 340 grs,carrefour,789.57,959.0,1.0 un
2026-03-29,puré chef 100 grs,chef,1839.0,1839.0,1.0 un
2026-03-29,harina de trigo bulnez 000 1 kg,bulnez,600.0,789.0,1.0 un
2026-03-29,harina de trigo 0000 bulnez 1 kg.,bulnez,949.0,949.0,1.0 un
2026-03-29,aceituna verde carrefour classic en rodajas doypack 150 grs,carrefour,1810.9,1990.0,1.0 un
2026-03-29,fideos codos bulnez en paquete 500 g.,bulnez,839.0,839.0,1.0 un
2026-03-29,fideos mostachol bulnez en paquete 500 g.,bulnez,839.0,839.0,1.0 un
2026-03-29,atún en trozos al natural bulnez en lata 170 g.,bulnez,2590.0,2590.0,1.0 un
2026-03-29,jugo de limón bulnez en botella 1000 cc.,bulnez,2890.0,2890.0,1.0 un
2026-03-29,aceitunas descarozadas morixe dp 300 g.,morixe,2250.0,2250.0,1.0 un
2026-03-29,salsa pomarola tradicional knorr 340 g.,knorr,1499.0,1499.0,1.0 un
2026-03-29,salsa pizza knorr 340 g.,knorr,1499.0,1499.0,1.0 un
2026-03-29,salsa pizza knorr 200 g.,knorr,1009.0,1009.0,1.0 un
2026-03-29,garbanzo carrefour classic 400 g.,carrefour,1400.6,1490.0,1.0 un
2026-03-29,caldo knorr de gallina deshidratado 12 cubos.,knorr,1999.0,2725.0,1.0 un
2026-03-29,polenta instantanea prestopronta en bolsa 490 g.,presto pronta,1529.0,1529.0,1.0 un
2026-03-29,fideos tallarin don bernabeu 500 g.,don bernabeu,849.0,849.0,1.0 un
2026-03-29,brownies de chocolate exquisita 425 g.,exquisita,4699.0,4699.0,1.0 un
2026-03-29,gelatina light exquista de frutilla 25 g.,exquisita,1200.0,1200.0,1.0 un
2026-03-29,arroz integral gallo en bolsa 500 g.,gallo,1579.0,1579.0,1.0 un
2026-03-29,arroz parboil gallo oro en bolsa 500 g.,gallo,1319.0,1319.0,1.0 un
2026-03-29,choclo cremoso amarillo carrefour classic en lata 300 g.,carrefour,727.09,999.0,1.0 un
2026-03-29,gelatina fortificada exquisita de frambuesa 40 g.,exquisita,1200.0,1200.0,1.0 un
2026-03-29,fideos cinta fetuccini don vicente 500 g.,don vicente,3399.0,3399.0,1.0 un
2026-03-29,fideos penne rigate n45 lucchetti 500 g.,lucchetti,1499.0,1499.0,1.0 un
2026-03-29,papas fritas krachitos corte americano 420 g.,krachitos,5729.0,5729.0,1.0 un
2026-03-29,fideos sin tacc spaghetti matarazzo 500 g.,matarazzo,4249.0,4249.0,1.0 un
2026-03-29,fideos integrales spaghetti matarazzo 500 g.,matarazzo,2149.0,2149.0,1.0 un
2026-03-29,fideos penne rigante matarazzo 500 g.,matarazzo,1849.0,1849.0,1.0 un
2026-03-29,arroz largo fino 00000 lucchetti 1 kg.,lucchetti,1799.0,1799.0,1.0 un
2026-03-29,arroz doble gallo 500 g.,gallo,2200.0,2200.0,1.0 un
2026-03-29,salsa bbq dánica dp 220 g.,dánica,1519.0,1519.0,1.0 un
2026-03-29,ketchup dánica dp 220 g.,dánica,1300.0,1300.0,1.0 un
2026-03-29,mayonesa  d´ fiesta 500 cc.,fiesta,1700.0,1700.0,1.0 un
2026-03-29,mayonesa dánica dp 500 g.,dánica,1850.0,1850.0,1.0 un
2026-03-29,ravioles la salteña de jamón y muzzarella en blister 450 g.,la salteña,3800.0,3800.0,1.0 un
2026-03-29,ravioles la salteña de pollo y verdura 450 g.,la salteña,3799.0,3799.0,1.0 un
2026-03-29,nachos macritas restaurant style 250 g.,macritas,4400.0,4400.0,1.0 un
2026-03-29,almidón de maíz maizena clásica sin tacc 500 g.,maizena,3849.0,3849.0,1.0 un
2026-03-29,almidón de maíz maizena clásica sin tacc 220 g.,maizena,1680.0,2240.0,1.0 un
2026-03-29,arroz largo fino crucero 00000 1 kg.,crucero,1280.0,1280.0,1.0 un
2026-03-29,palitos de maíz sabor queso carrefour classic 145 g.,carrefour,1341.0,2190.0,1.0 un
2026-03-29,mani pelado salado carrefour classic 115 g.,carrefour,1173.9,1290.0,1.0 un
2026-03-29,harina pureza con masa madre para pizza 1 kg.,pureza,2379.0,2379.0,1.0 un
2026-03-29,palitos krachitos salados 110 g.,krachitos,1519.0,1519.0,1.0 un
2026-03-29,flan royal de vainilla 60 g.,royal,1329.0,1329.0,1.0 un
2026-03-29,gelatina royal sabor frutos rojos 25 g.,genérico,1330.0,1330.0,1.0 un
2026-03-29,harina morixe para pizza 1 kg.,morixe,1859.0,1859.0,1.0 un
2026-03-29,aceituna verde carrefour descarozadas classic dp 140 g.,carrefour,2421.0,2690.0,1.0 un
2026-03-29,tomate perita classic cubeteados en lata 400 g.,carrefour,1334.4,1390.0,1.0 un
2026-03-29,aceite de girasol legitimo 1.5 lt.,legitimo,5799.0,5799.0,1.0 un
2026-03-29,atún en aceite la campagnola lomitos 170 g.,la campagnola,5535.0,5535.0,1.0 un
2026-03-29,choclo cremoso amarillo inalpa lata 300 g.,inalpa,1100.0,1100.0,1.0 un
2026-03-29,caldo de gallina maggi 12 uni,maggi,1729.0,1729.0,1.0 un
2026-03-29,mayonesa bc la campagnola light 500 g.,la campagnola,2509.0,2509.0,1.0 un
2026-03-29,arvejas secas remojadas arcor 300 g.,arcor,1265.0,1265.0,1.0 un
2026-03-29,harina fina integral tassara 1 kg.,tassara,1260.0,1260.0,1.0 un
2026-03-29,garbanzos inalpa secos remojados lata 300 g.,inalpa,929.0,929.0,1.0 un
2026-03-29,lentejas secas remojadas inalpa lata 300 g.,inalpa,1125.0,1125.0,1.0 un
2026-03-29,jardinera inalpa hortalizas y legumbres lata 300 g.,inalpa,979.0,979.0,1.0 un
2026-03-29,pimentón dulce alicante sobre 50 g.,alicante,1750.0,1750.0,1.0 un
2026-03-29,fideos de sémola cinta spaghetti carrefour classic 500 g.,carrefour,909.09,1290.0,1.0 un
2026-03-29,fideos guiseros codo carrefour classic 500 g.,carrefour,909.09,1290.0,1.0 un
2026-03-29,harina integral fina chacabuco 1 kg.,chacabuco,1589.0,1589.0,1.0 un
2026-03-29,harina 000 chacabuco 1 kg.,chacabuco,969.0,969.0,1.0 un
2026-03-29,harina integral pureza con levadura pizza 1 kg.,pureza,2079.0,2079.0,1.0 un
2026-03-29,provenzal alicante sobre 50 g.,alicante,2409.0,2409.0,1.0 un
2026-03-29,orégano alicante sobre 50 g.,alicante,2699.0,2699.0,1.0 un
2026-03-29,capelletini verdura fortificado giacomo 500 g.,giacomo,5449.0,5449.0,1.0 un
2026-03-29,capelletini jamón queso fortificado giacomo 500 g.,giacomo,5300.0,5300.0,1.0 un
2026-03-29,aceite de oliva extra virgen lira pet 500 cc.,lira,15015.0,15015.0,1.0 un
2026-03-29,arvejas secas remojadas doña pupa tetra 340 g.,doña pupa,719.0,719.0,1.0 un
2026-03-29,arroz integral molinos ala bolsa 1 kg.,molinos ala,2250.0,2250.0,1.0 un
2026-03-29,aceite de girasol pureza 900 cc.,pureza,3240.0,4050.0,1.0 un
2026-03-29,ajo en polvo pergola 25 g. sin tacc,pergola,550.0,550.0,1.0 un
2026-03-29,ketchup natura 500 cc.,natura,3100.0,3100.0,1.0 un
2026-03-29,pan rallado morixe 1 kg.,morixe,2700.0,2700.0,1.0 un
2026-03-29,aceite en aerosol cañuelas de girasol 187 cc.,cañuelas,3915.0,3915.0,1.0 un
2026-03-29,puré de papas instantáneo carrefour classic 200 g.,carrefour,2174.9,2390.0,1.0 un
2026-03-29,mayonesa heinz con jugo de limón 350 g.,heinz,2609.0,2609.0,1.0 un
2026-03-29,polvo para hornear royal 100 g.,royal,2469.0,2469.0,1.0 un
2026-03-29,duraznos amarillos en mitades carrefour light 800 g.,carrefour,2447.9,2690.0,1.0 un
2026-03-29,rebozador aglu 450 g. sin tacc.,aglu,2400.0,2400.0,1.0 un
2026-03-29,sal fina dos estrellas 500 g.,dos estrellas,989.0,989.0,1.0 un
2026-03-29,caldo de verduras carrefour classic caja 12 u.,carrefour,1264.9,1390.0,1.0 un
2026-03-29,fideos monos lucchetti bolsa 500 g.,lucchetti,2409.0,2409.0,1.0 un
2026-03-29,pan rallado mamá cocina fortificado 1 kg.,mamá cocina,2950.0,2950.0,1.0 un
2026-03-29,jugo de limón minerva pet 500 cc.,minerva,3299.0,3299.0,1.0 un
2026-03-29,lomitos de atún carrefour al natural 3 x 80 g.,carrefour,4863.3,5590.0,1.0 un
2026-03-29,pan rallado carrefour classic 500 g.,carrefour,1161.0,1290.0,1.0 un
