Fecha,Producto,Marca,Precio,Unidad,Categoria
2026-03-08,Papas fritas Carrefour classic corte tradicional 150 g.,Carrefour,1771.1,1.0 un,Almacen
2026-03-08,Harina Morixe para pizza 1 kg.,Morixe,1859.0,1.0 un,Almacen
2026-03-08,Ketchup Hellmanns regular doypack 500 g.,Hellmanns,3995.0,1.0 un,Almacen
2026-03-08,Mostaza Savora original doypack 250 g.,Savora,1169.0,1.0 un,Almacen
2026-03-08,Ketchup Hellmanns regular doypack 250 g.,Hellmanns,1775.0,1.0 un,Almacen
2026-03-08,Atún al natural La Campagnola lomitos 170 g.,La Campagnola,5535.0,1.0 un,Almacen
2026-03-08,Choclo en granos Arcor amarillo lata 300 g.,Arcor,1720.0,1.0 un,Almacen
2026-03-08,Garbanzos Inalpa secos remojados lata 300 g.,Inalpa,929.0,1.0 un,Almacen
2026-03-08,Jardinera Inalpa hortalizas y legumbres lata 300 g.,Inalpa,979.0,1.0 un,Almacen
2026-03-08,Arvejas secas remojadas Inalpa lata 300 g.,Inalpa,659.0,1.0 un,Almacen
2026-03-08,Esencia de vainilla Alicante pet 100 cc.,Alicante,1919.0,1.0 un,Almacen
2026-03-08,Fideos tirabuzones Carrefour classic 500 g.,Carrefour,909.09,1.0 un,Almacen
2026-03-08,Fideos guiseros moño Carrefour classic 500 g.,Carrefour,1292.7,1.0 un,Almacen
2026-03-08,Harina 0000 Chacabuco 1 kg.,Chacabuco,1199.0,1.0 un,Almacen
2026-03-08,Tomate triturado Don Francisco botella 950 g.,Don Francisco,2600.0,1.0 un,Almacen
2026-03-08,Aceite de girasol Pureza 900 cc.,Pureza,4050.0,1.0 un,Almacen
2026-03-08,Tomate triturado Carrefour 970 cc.,Carrefour,2036.7,1.0 un,Almacen
2026-03-08,Harina integral Pureza 1 kg.,Pureza,1799.0,1.0 un,Almacen
2026-03-08,Harina de trigo Morixe 000 1 kg.,Morixe,979.0,1.0 un,Almacen
2026-03-08,Puré de papas instantáneo Carrefour classic 100 g.,Carrefour,1071.0,1.0 un,Almacen
2026-03-08,Mostaza Natura 250 g.,Natura,950.0,1.0 un,Almacen
2026-03-08,Sal fina Dos Anclas en paquete 500 grs,Dos Anclas,1375.0,1.0 un,Almacen
2026-03-08,Atún Bulnez en aceite desmenuzado 170 g.,Bulnez,1190.0,1.0 un,Almacen
2026-03-08,Fideos tirabuzones Favorita fortificado 500 g.,Favorita,965.0,1.0 un,Almacen
2026-03-08,Fideos spaghetti fortificado Favorita 500 g.,Favorita,965.0,1.0 un,Almacen
2026-03-08,Sal fina Dos Estrellas 500 g.,Dos Estrellas,779.0,1.0 un,Almacen
2026-03-08,Duraznos amarillos en mitades Carrefour 820 g.,Carrefour,2447.9,1.0 un,Almacen
2026-03-08,Aceite en aerosol Natura 120 cc.,Natura,4135.0,1.0 un,Almacen
2026-03-08,Harina de trigo Pureza 0000 1 kg.,Pureza,1068.0,1.0 un,Almacen
2026-03-08,Mostaza Natura 500 g.,Natura,1885.0,1.0 un,Almacen
2026-03-08,Pan rallado Carrefour classic 1 kg.,Carrefour,2198.4,1.0 un,Almacen
2026-03-08,Pimentón 50 g.,Genérico,1199.0,1.0 un,Almacen
2026-03-08,Puré de tomate Salsati 520 g.,BC,1265.0,1.0 un,Almacen
2026-03-08,Aceite de girasol Natura 900 cc.,Natura,3999.0,1.0 un,Almacen
2026-03-08,Aceite en aerosol Carrefour classic girasol 150 cc.,Carrefour,3903.9,1.0 un,Almacen
2026-03-08,Sal gruesa Dos Anclas caja 500 g.,Dos Anclas,1349.0,1.0 un,Almacen
2026-03-08,Aceite de girasol Cocinero 900 cc.,Cocinero,3705.0,1.0 un,Almacen
2026-03-08,Arroz Molinos Ala parboil bolsa 1 kg.,Molinos Ala,2100.0,1.0 un,Almacen
2026-03-08,Arroz Molinos Ala doble carolina bolsa 1 kg.,Molinos Ala,3250.0,1.0 un,Almacen
