Date,Product,Brand,Price,List_Price,Unit
2026-04-05,lomitos de atún carrefour al natural 170 g.,carrefour,2447.2,3190.0,1.0 un
2026-04-05,puré de tomate arcor brik 520 g.,arcor,1029.0,1029.0,1.0 un
2026-04-05,choclo en granos amarillo carrefour classic en lata 300 g.,carrefour,1106.7,1190.0,1.0 un
2026-04-05,fideos tallarin n5 lucchetti 500 g.,matarazzo,1499.0,1499.0,1.0 un
2026-04-05,fideos tirabuzon n28 lucchetti 500 g.,luchetti,1499.0,1499.0,1.0 un
2026-04-05,mayonesa hellmanns liviana doypack 475 g.,hellmanns,2100.0,2800.0,1.0 un
2026-04-05,aceite de girasol carrefour classic  alto omega pet 900 cc.,carrefour,2998.6,3190.0,1.0 un
2026-04-05,mayonesa clásica hellmanns sin tacc doypack 475 g.,hellmanns,2046.75,2729.0,1.0 un
2026-04-05,aceite de girasol cañuelas 1.5 l.,cañuelas,5919.0,5919.0,1.0 un
2026-04-05,mayonesa natura 475 g.,natura,2839.0,2839.0,1.0 un
2026-04-05,lomitos de atún carrefour en aceite 170 g.,carrefour,2447.2,3190.0,1.0 un
2026-04-05,arroz largo fino molinos ala 1 kg.,molinos ala,1790.0,1790.0,1.0 un
2026-04-05,aceite de girasol natura 1.5 l.,natura,6319.0,6319.0,1.0 un
2026-04-05,harina leudante bulnez 1 kg,bulnez,991.9,1090.0,1.0 un
2026-04-05,tomate perita entero carrefour classic en lata 400 cc.,carrefour,939.06,999.0,1.0 un
2026-04-05,puré de tomate la campagnola tetra 530 g.,la campagnola,1135.0,1135.0,1.0 un
2026-04-05,sal fina bulnez en bolsa 500 g.,bulnez,739.0,739.0,1.0 un
2026-04-05,caldo knorr de verdura deshidratado 12 cubos,knorr,2670.0,2670.0,1.0 un
2026-04-05,arroz largo fino 00000 carrefour classic en bolsa 1 kg.,carrefour,1241.08,1349.0,1.0 un
2026-04-05,harina leudante blancaflor 1 kg.,blancaflor,1949.0,1949.0,1.0 un
2026-04-05,arvejas secas remojadas carrefour classic en lata 300 g.,carrefour,559.81,629.0,1.0 un
2026-04-05,garbanzos secos remojados carrefour classic en lata 300 g.,carrefour,806.6,1090.0,1.0 un
2026-04-05,fideos tallarines don vicente en bolsa 500 g.,don vicente,3399.0,3399.0,1.0 un
2026-04-05,fideos tirabuzones n28 matarazzo 500 g.,matarazzo,1849.0,1849.0,1.0 un
2026-04-05,fideos spaghetti n3 matarazzo 500 g.,matarazzo,1849.0,1849.0,1.0 un
2026-04-05,fideos spaghetti n7 lucchetti 500 g.,lucchetti,1439.0,1439.0,1.0 un
2026-04-05,fideos mostacholes n52 lucchetti rayado 500 g.,lucchetti,1499.0,1499.0,1.0 un
2026-04-05,fideos mostacholes n52 matarazzo rayado 500 g.,matarazzo,1849.0,1849.0,1.0 un
2026-04-05,fideos tirabuzón terrabusi 3 vegetales 500 g.,terrabusi,1349.0,1349.0,1.0 un
2026-04-05,arroz parboil gallo oro en bolsa 1 kg.,gallo,2500.0,2500.0,1.0 un
2026-04-05,mostaza savora oiginal doypack 500 g.,savora,2765.0,2765.0,1.0 un
2026-04-05,ketchup hellmanns regular doypack 250 g.,hellmanns,1702.5,2270.0,1.0 un
2026-04-05,arvejas secas remojadas inalpa lata 300 g.,inalpa,659.0,659.0,1.0 un
2026-04-05,fideos guiseros moño carrefour classic 500 g.,carrefour,1664.7,1790.0,1.0 un
2026-04-05,caldo de verdura maggi 12 uni,maggi,1210.3,1729.0,1.0 un
2026-04-05,tomate triturado carrefour 970 cc.,carrefour,2222.7,2390.0,1.0 un
2026-04-05,harina de trigo morixe 0000 1 kg.,morixe,969.0,1299.0,1.0 un
2026-04-05,harina de trigo morixe 000 1 kg.,morixe,979.0,979.0,1.0 un
2026-04-05,puré de papas instantáneo carrefour classic 100 g.,carrefour,1071.0,1190.0,1.0 un
2026-04-05,atún desmenuzado bulnez al natural 170 g.,bulnez,1080.0,1080.0,1.0 un
2026-04-05,fideos coditos lucchetti 500 g.,lucchetti,1499.0,1499.0,1.0 un
2026-04-05,aceite de oliva oliovita extra virgen 500 cc.,oliovita,13259.0,13259.0,1.0 un
2026-04-05,puré de tomate carrefour classic 520 g.,carrefour,809.1,899.0,1.0 un
2026-04-05,vinagre de alcohol menoyo 1 l.,menoyo,1639.0,1639.0,1.0 un
2026-04-05,sal fina celusal paquete 500 g.,celusal,1409.0,1409.0,1.0 un
2026-04-05,harina de trigo 000 caserita x 1 kg,caserita,899.0,899.0,1.0 un
2026-04-05,puré de tomate carrefour classic tetra 520 grs,carrefour,836.07,899.0,1.0 un
2026-04-05,harina leudante chacabuco 1 kg,chacabuco,1479.0,1479.0,1.0 un
2026-04-05,aceitunas verdes descarozadas nucete dp 220 grs,nucete,1949.0,1949.0,1.0 un
2026-04-05,lentejas secas bulnez 400 grs,bulnez,1390.0,1390.0,1.0 un
2026-04-05,aceite de girasol carrefour classic pet 900 ml,carrefour,2998.6,3190.0,1.0 un
2026-04-05,fideo tirabuzones bulnez en paquete 500 g.,bulnez,749.0,839.0,1.0 un
2026-04-05,fideo spaghetti bulnez en paquete 500 g.,bulnez,749.0,839.0,1.0 un
2026-04-05,fideos mostachol bulnez en paquete 500 g.,bulnez,749.0,839.0,1.0 un
2026-04-05,atún en trozos en aceite bulnez en lata 170 g.,bulnez,2590.0,2590.0,1.0 un
2026-04-05,atún en trozos al natural bulnez en lata 170 g.,bulnez,2590.0,2590.0,1.0 un
2026-04-05,avena instantanea carrefour classic pouch 300 g.,carrefour,1385.7,1490.0,1.0 un
2026-04-05,orégano el mercado 50 g.,el mercado,929.0,929.0,1.0 un
2026-04-05,provenzal el mercado 50 g.,el mercado,929.0,929.0,1.0 un
2026-04-05,lentejas carrefour classic 400 g.,carrefour,1554.8,1690.0,1.0 un
2026-04-05,sal gruesa bulnez en bolsa 1 kg.,bulnez,1490.0,1490.0,1.0 un
2026-04-05,polenta instantanea prestopronta en bolsa 490 g.,presto pronta,1529.0,1529.0,1.0 un
2026-04-05,arroz parboil carrefour classic en bolsa 1 kg.,carrefour,1776.6,1890.0,1.0 un
2026-04-05,lentejas secas remojadas carrefour classic en lata 300 g.,carrefour,863.97,929.0,1.0 un
2026-04-05,bizcochuelo fortificado exquisita de vainilla 540 g.,exquisita,3499.0,3499.0,1.0 un
2026-04-05,pan rallado preferido fortificado 1 kg.,preferido,3425.0,3425.0,1.0 un
2026-04-05,puré de papas maggi original 125 grs,maggi,1890.0,2700.0,1.0 un
2026-04-05,fideos cinta caserito don vicente en bolsa 500 g.,don vicente,3399.0,3399.0,1.0 un
2026-04-05,fideos tallarines n5 matarazzo 500 g.,matarazzo,1849.0,1849.0,1.0 un
2026-04-05,avena instantanea morixe 400 g.,morixe,1646.25,2195.0,1.0 un
2026-04-05,fideos guiseros tirabuzon lucchetti 3 vegetales 500 g.,luchetti,1919.0,1919.0,1.0 un
2026-04-05,fideos integrales tirabuzon matarazzo 500 g.,matarazzo,2149.0,2149.0,1.0 un
2026-04-05,fideos tirabuzon matarazzo 3 vegetales 500 g.,matarazzo,2149.0,2149.0,1.0 un
2026-04-05,arroz parboil lucchetti 1 kg.,lucchetti,2099.0,2099.0,1.0 un
2026-04-05,mayonesa  d´ fiesta 500 cc.,fiesta,1700.0,1700.0,1.0 un
2026-04-05,palitos salados carrefour classic 115 g.,carrefour,1071.0,1190.0,1.0 un
2026-04-05,papas fritas carrefour classic corte tradicional 150 g.,carrefour,2305.1,2590.0,1.0 un
2026-04-05,ketchup hellmanns regular doypack 500 g.,hellmanns,2996.25,3995.0,1.0 un
2026-04-05,mostaza savora original doypack 250 g.,savora,1169.0,1565.0,1.0 un
2026-04-05,choclo en granos arcor amarillo lata 300 g.,arcor,1720.0,1720.0,1.0 un
2026-04-05,caldo de gallina maggi 12 uni,maggi,1210.3,1729.0,1.0 un
2026-04-05,polenta instantánea presto pronta bolsa 730 g.,presto pronta,2189.0,2189.0,1.0 un
2026-04-05,harina leudante pureza con vitamina d 1 kg.,pureza,1689.0,1689.0,1.0 un
2026-04-05,esencia de vainilla alicante pet 100 cc.,alicante,1919.0,1919.0,1.0 un
2026-04-05,fideos cinta tallarin carrefour classic 500 g.,carrefour,1173.9,1290.0,1.0 un
2026-04-05,fideos mostachol rayado carrefour classic 500 g.,carrefour,1173.9,1290.0,1.0 un
2026-04-05,fideos tirabuzones carrefour classic 500 g.,carrefour,1173.9,1290.0,1.0 un
2026-04-05,harina 0000 chacabuco 1 kg.,chacabuco,1289.0,1289.0,1.0 un
2026-04-05,tomate triturado don francisco botella 950 g.,don francisco,2600.0,2600.0,1.0 un
2026-04-05,vinagre de alcohol casalta 1 l.,casalta,1565.0,1565.0,1.0 un
2026-04-05,harina integral pureza 1 kg.,pureza,1799.0,1799.0,1.0 un
2026-04-05,mostaza natura 250 g.,natura,955.0,955.0,1.0 un
2026-04-05,sal fina dos anclas en paquete 500 grs,dos anclas,1429.0,1429.0,1.0 un
2026-04-05,atún bulnez en aceite desmenuzado 170 g.,bulnez,1080.0,1080.0,1.0 un
2026-04-05,polvo para hornear royal 100 g.,royal,2579.0,2579.0,1.0 un
2026-04-05,fideos tirabuzones favorita fortificado 500 g.,favorita,965.0,965.0,1.0 un
2026-04-05,fideos spaghetti fortificado favorita 500 g.,favorita,965.0,965.0,1.0 un
2026-04-05,duraznos amarillos en mitades carrefour 820 g.,carrefour,2447.9,2690.0,1.0 un
2026-04-05,fideos coditos rayados matarazzo 500 g.,matarazzo,1849.0,1849.0,1.0 un
2026-04-05,aceite en aerosol natura 120 cc.,natura,4135.0,4135.0,1.0 un
2026-04-05,mostaza natura 500 g.,natura,1885.0,1885.0,1.0 un
2026-04-05,ketchup natura 250 cc.,natura,1600.0,1600.0,1.0 un
2026-04-05,harina pureza especial para pizzas 1 kg.,pureza,1980.0,1980.0,1.0 un
2026-04-05,pan rallado carrefour classic 1 kg.,carrefour,2294.4,2390.0,1.0 un
2026-04-05,pimentón 50 g.,genérico,1199.0,1199.0,1.0 un
2026-04-05,puré de tomate salsati 520 g.,bc,1265.0,1265.0,1.0 un
2026-04-05,aceite de girasol natura 900 cc.,natura,3999.0,3999.0,1.0 un
2026-04-05,aceite en aerosol carrefour classic girasol 150 cc.,carrefour,3539.9,3890.0,1.0 un
2026-04-05,sal gruesa dos anclas caja 500 g.,dos anclas,1349.0,1349.0,1.0 un
2026-04-05,aceite de girasol cocinero 900 cc.,cocinero,3705.0,3705.0,1.0 un
2026-04-05,arroz molinos ala parboil bolsa 1 kg.,molinos ala,2100.0,2100.0,1.0 un
2026-04-05,arroz molinos ala doble carolina bolsa 1 kg.,molinos ala,3250.0,3250.0,1.0 un
2026-04-05,vinagre de alcohol carrefour classic 1 l.,carrefour,1431.0,1590.0,1.0 un
2026-04-05,vinagre de alcohol alcazar 1 l.,alcazar,1230.0,1230.0,1.0 un
2026-04-05,fideos moños matarazzo 500 g.,matarazzo,2409.0,2409.0,1.0 un
2026-04-05,mayonesa natura 950 g.,natura,5569.0,5569.0,1.0 un
2026-04-05,tomate perita la campagnola 400 g.,la campagnola,1419.0,1419.0,1.0 un
2026-04-05,picadillo de carne swift 90 g.,swift,1289.0,1289.0,1.0 un
2026-04-05,pate de foie swift lata 90 g.,swift,1289.0,1289.0,1.0 un
2026-04-05,aceite de girasol cocinero 1.5 l.,cocinero,5865.0,5865.0,1.0 un
2026-04-05,paté de foie bulnez en lata 90 grs,bulnez,749.0,849.0,1.0 un
2026-04-05,picadillo de carne bulnez en lata 90 grs,bulnez,749.0,849.0,1.0 un
2026-04-05,arroz largo fino bulnez 1 kg,bulnez,1190.0,1190.0,1.0 un
2026-04-05,arroz blanco shangrila 1 kg,shangrila,1050.0,1050.0,1.0 un
2026-04-05,maíz pisingallo bulnez 400 grs,bulnez,719.0,719.0,1.0 un
2026-04-05,aceite de oliva extra virgen carrefour extra  en botella 500 ml,carrefour,11030.8,15190.0,1.0 un
2026-04-05,papas fritas bulnez sabor original en tubo 100 grs,bulnez,2190.0,2190.0,1.0 un
2026-04-05,papas fritas bulnez sabor queso y cebolla en tubo 100 grs,bulnez,2190.0,2190.0,1.0 un
2026-04-05,papas fritas carrefour classic en bolsa 250 grs,carrefour,3946.8,4290.0,1.0 un
2026-04-05,tomate perita salsati pelado 400 grs,salsati,1639.0,1639.0,1.0 un
2026-04-05,lentejas secas carrefour classic remojadas 340 grs,carrefour,836.07,899.0,1.0 un
2026-04-05,fideo tallarin bulnez en paquete 500 g.,bulnez,749.0,839.0,1.0 un
2026-04-05,puré chef 100 grs,chef,1839.0,1839.0,1.0 un
2026-04-05,harina de trigo bulnez 000 1 kg,bulnez,789.0,789.0,1.0 un
2026-04-05,aceituna verde carrefour classic en rodajas doypack 150 grs,carrefour,1810.9,1990.0,1.0 un
2026-04-05,fideos codos bulnez en paquete 500 g.,bulnez,749.0,839.0,1.0 un
2026-04-05,bicarbonato de sodio carrefour classic 50 g.,carrefour,677.97,729.0,1.0 un
2026-04-05,jugo de limón bulnez en botella 1000 cc.,bulnez,2890.0,2890.0,1.0 un
2026-04-05,aceitunas descarozadas morixe dp 300 g.,morixe,2250.0,2250.0,1.0 un
2026-04-05,puré de tomates bulnez 520 g.,bulnez,649.0,799.0,1.0 un
2026-04-05,salsa filetto knorr 340 g.,knorr,1499.0,1499.0,1.0 un
