Fecha,Producto,Marca,Precio_S2,Unidad
2026-03-15,Harina leudante Chacabuco 1 kg,Chacabuco,1345.0,1.0 un
2026-03-15,Aceitunas verdes descarozadas Nucete dp 220 grs,Nucete,1860.0,1.0 un
2026-03-15,Lentejas secas Bulnez 400 grs,Bulnez,1390.0,1.0 un
2026-03-15,Fideo tirabuzones Bulnez en paquete 500 g.,Bulnez,839.0,1.0 un
2026-03-15,Fideo spaghetti Bulnez en paquete 500 g.,Bulnez,839.0,1.0 un
2026-03-15,Atún en trozos en aceite Bulnez en lata 170 g.,Bulnez,2590.0,1.0 un
2026-03-15,Avena instantanea Carrefour Classic pouch 300 g.,Carrefour,1478.7,1.0 un
2026-03-15,Orégano El Mercado 50 g.,El Mercado,929.0,1.0 un
2026-03-15,Provenzal El Mercado 50 g.,El Mercado,929.0,1.0 un
2026-03-15,Lentejas Carrefour Classic 400 g.,Carrefour,1462.8,1.0 un
2026-03-15,Tomate perita entero Carrefour classic en lata 400 cc.,Carrefour,1118.6,1.0 un
2026-03-15,Sal gruesa Bulnez en bolsa 1 kg.,Bulnez,1490.0,1.0 un
2026-03-15,Arroz parboil Carrefour Classic en bolsa 1 kg.,Carrefour,1494.6,1.0 un
2026-03-15,Harina leudante Blancaflor 1 kg.,Blancaflor,1949.0,1.0 un
2026-03-15,Garbanzos secos remojados Carrefour classic en lata 300 g.,Carrefour,591.26,1.0 un
2026-03-15,Lentejas secas remojadas Carrefour classic en lata 300 g.,Carrefour,836.07,1.0 un
2026-03-15,Pan rallado Preferido fortificado 1 kg.,Preferido,3425.0,1.0 un
2026-03-15,Puré de Papas Maggi original 125 grs,Maggi,2700.0,1.0 un
2026-03-15,Fideos cinta caserito Don vicente en bolsa 500 g.,Don Vicente,3399.0,1.0 un
2026-03-15,Fideos tirabuzones N28 Matarazzo 500 g.,Matarazzo,1849.0,1.0 un
2026-03-15,Fideos tallarines N5 Matarazzo 500 g.,Matarazzo,1849.0,1.0 un
2026-03-15,Avena instantanea Morixe 400 g.,Morixe,2195.0,1.0 un
2026-03-15,Fideos guiseros tirabuzon Lucchetti 3 vegetales 500 g.,Luchetti,1919.0,1.0 un
2026-03-15,Fideos integrales tirabuzon Matarazzo 500 g.,Matarazzo,2149.0,1.0 un
2026-03-15,Fideos mostacholes N52 Matarazzo rayado 500 g.,Matarazzo,1849.0,1.0 un
2026-03-15,Fideos tirabuzón Terrabusi 3 vegetales 500 g.,Terrabusi,1349.0,1.0 un
2026-03-15,Arroz parboil Lucchetti 1 kg.,Lucchetti,2099.0,1.0 un
2026-03-15,Arroz largo fino 00000 Lucchetti 1 kg.,Lucchetti,1799.0,1.0 un
2026-03-15,Mayonesa  d´ Fiesta 500 cc.,Fiesta,1579.0,1.0 un
2026-03-15,Puré de tomate Bulnez tetra 520 g.,Bulnez,799.0,1.0 un
2026-03-15,Palitos salados Carrefour classic 115 g.,Carrefour,1161.0,1.0 un
2026-03-15,Papas fritas Carrefour classic corte tradicional 150 g.,Carrefour,1771.1,1.0 un
2026-03-15,Harina Morixe para pizza 1 kg.,Morixe,1859.0,1.0 un
2026-03-15,Ketchup Hellmanns regular doypack 500 g.,Hellmanns,3995.0,1.0 un
2026-03-15,Mostaza Savora original doypack 250 g.,Savora,1565.0,1.0 un
2026-03-15,Aceite de girasol Legitimo 900 cc.,Legitimo,3449.0,1.0 un
2026-03-15,Ketchup Hellmanns regular doypack 250 g.,Hellmanns,2369.0,1.0 un
2026-03-15,Atún al natural La Campagnola lomitos 170 g.,La Campagnola,5535.0,1.0 un
2026-03-15,Choclo en granos Arcor amarillo lata 300 g.,Arcor,1720.0,1.0 un
2026-03-15,Polenta instantánea Presto Pronta bolsa 730 g.,Presto Pronta,2189.0,1.0 un
2026-03-15,Arvejas secas remojadas Inalpa lata 300 g.,Inalpa,659.0,1.0 un
2026-03-15,Esencia de vainilla Alicante pet 100 cc.,Alicante,1919.0,1.0 un
2026-03-15,Fideos cinta tallarin Carrefour classic 500 g.,Carrefour,909.09,1.0 un
2026-03-15,Fideos tirabuzones Carrefour classic 500 g.,Carrefour,909.09,1.0 un
2026-03-15,Fideos guiseros moño Carrefour classic 500 g.,Carrefour,1292.7,1.0 un
2026-03-15,Tomate triturado Don Francisco botella 950 g.,Don Francisco,2600.0,1.0 un
2026-03-15,Aceite de girasol Pureza 900 cc.,Pureza,4050.0,1.0 un
2026-03-15,Tomate triturado Carrefour 970 cc.,Carrefour,2036.7,1.0 un
2026-03-15,Harina integral Pureza 1 kg.,Pureza,1799.0,1.0 un
2026-03-15,Puré de papas instantáneo Carrefour classic 100 g.,Carrefour,1161.0,1.0 un
2026-03-15,Mostaza Natura 250 g.,Natura,950.0,1.0 un
2026-03-15,Sal fina Dos Anclas en paquete 500 grs,Dos Anclas,1429.0,1.0 un
2026-03-15,Fideos tirabuzones Favorita fortificado 500 g.,Favorita,675.0,1.0 un
2026-03-15,Fideos spaghetti fortificado Favorita 500 g.,Favorita,675.0,1.0 un
2026-03-15,Sal fina Dos Estrellas 500 g.,Dos Estrellas,989.0,1.0 un
2026-03-15,Duraznos amarillos en mitades Carrefour 820 g.,Carrefour,2265.9,1.0 un
2026-03-15,Aceite en aerosol Natura 120 cc.,Natura,4135.0,1.0 un
2026-03-15,Mostaza Natura 500 g.,Natura,1885.0,1.0 un
2026-03-15,Ketchup Natura 250 cc.,Natura,1489.0,1.0 un
2026-03-15,Pan rallado Carrefour classic 1 kg.,Carrefour,2198.4,1.0 un
2026-03-15,Pimentón 50 g.,Genérico,1199.0,1.0 un
2026-03-15,Puré de tomate Salsati 520 g.,BC,1265.0,1.0 un
2026-03-15,Aceite de girasol Natura 900 cc.,Natura,3999.0,1.0 un
2026-03-15,Aceite en aerosol Carrefour classic girasol 150 cc.,Carrefour,3630.9,1.0 un
2026-03-15,Sal gruesa Dos Anclas caja 500 g.,Dos Anclas,1349.0,1.0 un
2026-03-15,Arroz Molinos Ala parboil bolsa 1 kg.,Molinos Ala,2100.0,1.0 un
2026-03-15,Arroz Molinos Ala doble carolina bolsa 1 kg.,Molinos Ala,3250.0,1.0 un
2026-03-15,Vinagre de alcohol Carrefour classic 1 l.,Carrefour,1431.0,1.0 un
2026-03-15,Vinagre de alcohol Alcazar 1 l.,Alcazar,1230.0,1.0 un
2026-03-15,Mayonesa Natura 950 g.,Natura,5089.0,1.0 un
2026-03-15,Paté de foie Bulnez en lata 90 grs,Bulnez,849.0,1.0 un
2026-03-15,Puré de tomate Carrefour Classic tetra 520 grs,Carrefour,789.57,1.0 un
2026-03-15,Arroz blanco Shangrila 1 kg,Shangrila,1050.0,1.0 un
2026-03-15,Maíz pisingallo Bulnez 400 grs,Bulnez,719.0,1.0 un
2026-03-15,Tomate triturado Corper sin gluten 910 grs,Corper,1990.0,1.0 un
2026-03-15,Aceite de girasol Carrefour Classic pet 900 ml,Carrefour,3186.6,1.0 un
2026-03-15,Papas fritas Carrefour Classic en bolsa 250 grs,Carrefour,3026.8,1.0 un
2026-03-15,Puré Chef 100 grs,Chef,1839.0,1.0 un
2026-03-15,Harina de trigo 0000 Bulnez 1 kg.,Bulnez,949.0,1.0 un
2026-03-15,Aceituna verde Carrefour Classic en rodajas doypack 150 grs,Carrefour,1810.9,1.0 un
2026-03-15,Fideos codos Bulnez en paquete 500 g.,Bulnez,839.0,1.0 un
2026-03-15,Fideos mostachol Bulnez en paquete 500 g.,Bulnez,839.0,1.0 un
2026-03-15,Jugo de limón Bulnez en botella 1000 cc.,Bulnez,2890.0,1.0 un
2026-03-15,Jugo de limón Bulnez en botella 500 cc.,Bulnez,1790.0,1.0 un
2026-03-15,Aceitunas descarozadas Morixe dp 300 g.,Morixe,2250.0,1.0 un
2026-03-15,Salsa pizza Knorr 200 g.,Knorr,1009.0,1.0 un
2026-03-15,Garbanzo Carrefour Classic 400 g.,Carrefour,1400.6,1.0 un
2026-03-15,Caldo Knorr de gallina deshidratado 12 cubos.,Knorr,2725.0,1.0 un
2026-03-15,Polenta instantanea Prestopronta en bolsa 490 g.,Presto Pronta,1529.0,1.0 un
2026-03-15,Brownies de chocolate Exquisita 425 g.,Exquisita,4699.0,1.0 un
2026-03-15,Gelatina light Exquista de frutilla 25 g.,Exquisita,1200.0,1.0 un
2026-03-15,Arroz integral Gallo en bolsa 500 g.,Gallo,1579.0,1.0 un
2026-03-15,Choclo cremoso amarillo Carrefour classic en lata 300 g.,Carrefour,727.09,1.0 un
2026-03-15,Bizcochuelo fortificado Exquisita de vainilla 540 g.,Exquisita,3499.0,1.0 un
2026-03-15,Fideos cinta fetuccini Don vicente 500 g.,Don Vicente,3399.0,1.0 un
2026-03-15,Fideos penne rigate N45 Lucchetti 500 g.,Lucchetti,1499.0,1.0 un
2026-03-15,Papas fritas Krachitos corte americano 420 g.,Krachitos,5729.0,1.0 un
2026-03-15,Fideos sin tacc spaghetti Matarazzo 500 g.,Matarazzo,4249.0,1.0 un
2026-03-15,Fideos integrales spaghetti Matarazzo 500 g.,Matarazzo,2149.0,1.0 un
2026-03-15,Fideos tirabuzon Matarazzo 3 vegetales 500 g.,Matarazzo,2149.0,1.0 un
2026-03-15,Fideos penne rigante Matarazzo 500 g.,Matarazzo,1849.0,1.0 un
2026-03-15,Arroz doble Gallo 500 g.,Gallo,2200.0,1.0 un
2026-03-15,Ketchup Dánica dp 220 g.,Dánica,1300.0,1.0 un
2026-03-15,Mayonesa Dánica dp 500 g.,Dánica,1679.0,1.0 un
2026-03-15,Nachos Macritas restaurant style 250 g.,Macritas,4400.0,1.0 un
2026-03-15,Almidón de maíz Maizena clásica sin tacc 500 g.,Maizena,3679.0,1.0 un
2026-03-15,Almidón de maíz Maizena clásica sin tacc 220 g.,Maizena,2149.0,1.0 un
2026-03-15,Arroz largo fino Crucero 00000 1 kg.,Crucero,1280.0,1.0 un
2026-03-15,Palitos de maíz sabor queso Carrefour classic 145 g.,Carrefour,1341.0,1.0 un
2026-03-15,Mani pelado salado Carrefour classic 115 g.,Carrefour,991.9,1.0 un
2026-03-15,Harina Pureza con masa madre para pizza 1 kg.,Pureza,2379.0,1.0 un
2026-03-15,Palitos Krachitos salados 110 g.,Krachitos,1519.0,1.0 un
2026-03-15,Gelatina Royal sabor frutos rojos 25 g.,Genérico,1330.0,1.0 un
2026-03-15,Gelatina Royal sabor frutos rojos 25 g.,Genérico,1330.0,1.0 un
2026-03-15,Aceituna verde Carrefour descarozadas classic dp 140 g.,Carrefour,2331.0,1.0 un
2026-03-15,Tomate perita Classic cubeteados en lata 400 g.,Carrefour,1238.4,1.0 un
2026-03-15,Harina de trigo Tassara tipo 000 1 kg.,Tassara,849.0,1.0 un
2026-03-15,Aceite de girasol Legitimo 1.5 lt.,Legitimo,5799.0,1.0 un
2026-03-15,Atún en aceite La campagnola lomitos 170 g.,La Campagnola,5535.0,1.0 un
2026-03-15,Choclo cremoso amarillo Inalpa lata 300 g.,Inalpa,1050.0,1.0 un
2026-03-15,Caldo de gallina Maggi 12 uni,Maggi,1729.0,1.0 un
2026-03-15,Mayonesa BC La Campagnola light 500 g.,La Campagnola,2509.0,1.0 un
2026-03-15,Arvejas secas remojadas Arcor 300 g.,Arcor,1220.0,1.0 un
2026-03-15,Harina fina integral Tassara 1 kg.,Tassara,1260.0,1.0 un
2026-03-15,Jardinera Inalpa hortalizas y legumbres lata 300 g.,Inalpa,979.0,1.0 un
2026-03-15,Pimentón dulce Alicante sobre 50 g.,Alicante,1659.0,1.0 un
2026-03-15,Fideos de sémola cinta spaghetti Carrefour classic 500 g.,Carrefour,909.09,1.0 un
2026-03-15,Fideos mostachol rayado Carrefour classic 500 g.,Carrefour,909.09,1.0 un
2026-03-15,Fideos guiseros codo Carrefour classic 500 g.,Carrefour,909.09,1.0 un
2026-03-15,Harina integral fina Chacabuco 1 kg.,Chacabuco,1459.0,1.0 un
2026-03-15,Harina integral Pureza con levadura pizza 1 kg.,Pureza,2079.0,1.0 un
2026-03-15,Provenzal Alicante sobre 50 g.,Alicante,2409.0,1.0 un
2026-03-15,Orégano Alicante sobre 50 g.,Alicante,2699.0,1.0 un
2026-03-15,Capelletini verdura fortificado Giacomo 500 g.,Giacomo,4900.0,1.0 un
2026-03-15,Capelletini jamón queso fortificado Giacomo 500 g.,Giacomo,4900.0,1.0 un
2026-03-15,Aceite de oliva extra virgen Lira pet 500 cc.,Lira,15015.0,1.0 un
2026-03-15,Arvejas secas remojadas Doña Pupa tetra 340 g.,Doña Pupa,719.0,1.0 un
2026-03-15,Arroz integral Molinos Ala bolsa 1 kg.,Molinos Ala,2250.0,1.0 un
2026-03-15,Vinagre de alcohol Casalta 1 l.,Casalta,1565.0,1.0 un
2026-03-15,Ketchup Natura 500 cc.,Natura,2929.0,1.0 un
2026-03-15,Pan Rallado Morixe 1 kg.,Morixe,2700.0,1.0 un
2026-03-15,Aceite en aerosol Cañuelas de girasol 187 cc.,Cañuelas,3915.0,1.0 un
2026-03-15,Mayonesa Heinz con jugo de limón 350 g.,Heinz,2489.0,1.0 un
2026-03-15,Atún Bulnez en aceite desmenuzado 170 g.,Bulnez,1190.0,1.0 un
2026-03-15,Polvo para Hornear Royal 100 g.,Royal,2469.0,1.0 un
2026-03-15,Fideos mostacholes rayados Favorita fortificado 500 g.,Favorita,675.0,1.0 un
2026-03-15,Duraznos amarillos en mitades Carrefour Light 800 g.,Carrefour,2447.9,1.0 un
2026-03-15,Rebozador Aglu 450 g. SIN TACC.,Aglu,2400.0,1.0 un
2026-03-15,Caldo de verduras Carrefour classic caja 12 u.,Carrefour,1355.9,1.0 un
2026-03-15,Fideos monos Lucchetti bolsa 500 g.,Lucchetti,2409.0,1.0 un
2026-03-15,Fideos coditos rayados Matarazzo 500 g.,Matarazzo,1849.0,1.0 un
2026-03-15,Pan rallado Mamá Cocina fortificado 1 kg.,Mamá Cocina,2950.0,1.0 un
2026-03-15,Pan rallado Carrefour classic 500 g.,Carrefour,1071.0,1.0 un
2026-03-15,Aceite de oliva Carrefour Classic virgen en botella 500 ml,Carrefour,10662.8,1.0 un
2026-03-15,Ajo picado deshidratado 50 g.,Genérico,1169.0,1.0 un
2026-03-15,Arroz Molinos Ala largo fino 00000 bolsa 500 g.,Molinos Ala,1050.0,1.0 un
2026-03-15,Tomate perita cubeteado Arcor 400 g.,Arcor,1575.0,1.0 un
2026-03-15,Tomate perita Arcor 400 g.,Arcor,1269.0,1.0 un
2026-03-15,Mayonesa Mayoliva aceite de oliva 250 cc.,Mayoliva,2239.0,1.0 un
2026-03-15,Salsa de soja La Parmesana 300 g.,La Parmesana,2700.0,1.0 un
2026-03-15,Sal parrillera Dos Anclas caja 500 g.,Dos Anclas,1339.0,1.0 un
2026-03-15,Harina leudante Caserita x 1 kg,Caserita,1499.0,1.0 un
2026-03-15,Palmitos enteros Carrefour 400 g.,Carrefour,4311.0,1.0 un
2026-03-15,Sal fina Celusal 500 g.,Celusal,1685.0,1.0 un
2026-03-15,Fideos moños Matarazzo 500 g.,Matarazzo,2409.0,1.0 un
2026-03-15,Picadillo de carne Swift 90 g.,Swift,1229.0,1.0 un
2026-03-15,Pate de foie Swift lata 90 g.,Swift,1229.0,1.0 un
2026-03-15,Sal fina Dos Anclas 500 g.,Dos Anclas,1619.0,1.0 un
2026-03-15,Pulpa de tomate Carrefour Classic tetra 520 grs,Carrefour,772.59,1.0 un
2026-03-15,Galletitas original Club Social x6 24 grs,Club Social,2600.22,1.0 un
2026-03-15,Picadillo de carne Bulnez en lata 90 grs,Bulnez,849.0,1.0 un
2026-03-15,Arroz largo fino Bulnez 500 grs,Bulnez,619.0,1.0 un
2026-03-15,Arroz largo fino Bulnez 1 kg,Bulnez,1190.0,1.0 un
2026-03-15,Fideos secos Bulnez pamperitos 500 grs,Bulnez,959.0,1.0 un
2026-03-15,Papas fritas Pehuamar acanaladas 450 grs,Pehuamar,6835.5,1.0 un
2026-03-15,Baguetin Carrefour Classic sabor jamón 70 grs,Carrefour,881.79,1.0 un
2026-03-15,Baguetin Carrefour Classic sabor pizza 70 grs,Carrefour,881.79,1.0 un
2026-03-15,Aceitunas verdes en rodajas Nucete dp 220 grs,Nucete,1765.0,1.0 un
2026-03-15,Aceitunas verdes Nucete dp 220 grs,Nucete,1389.0,1.0 un
2026-03-15,Lentejón Carrefour Classic 400 grs,Carrefour,1990.0,1.0 un
2026-03-15,Maíz pisingallo Carrefour Classic 400 grs,Carrefour,819.0,1.0 un
2026-03-15,Aceite de oliva extra virgen Carrefour Extra  en botella 500 ml,Carrefour,11030.8,1.0 un
2026-03-15,Gelatina light Carrefour Classic sabor frambuesa 20 grs,Carrefour,882.57,1.0 un
2026-03-15,Gelatina light Carrefour Classic sabor frutilla 20 grs,Carrefour,882.57,1.0 un
2026-03-15,Papas fritas Bulnez sabor original en tubo 100 grs,Bulnez,2190.0,1.0 un
2026-03-15,Papas fritas Bulnez sabor queso y cebolla en tubo 100 grs,Bulnez,2190.0,1.0 un
2026-03-15,Salsa barbacoa Hellmanns dp 250 grs,Hellmanns,2579.0,1.0 un
2026-03-15,Tomate perita Salsati pelado 400 grs,Salsati,1639.0,1.0 un
2026-03-15,Garbanzo seco Carrefour Classic remojado 340 grs,Carrefour,751.06,1.0 un
2026-03-15,Fideos multicereal sin tacc Wakas fusilli kale 300 grs,Wakas,2950.0,1.0 un
2026-03-15,Fideos de arroz sin tacc Wakas fusilli con quinoa 300 grs,Wakas,2959.0,1.0 un
2026-03-15,Harina de trigo 00 Chacabuco napolitana 1 kg,Chacabuco,2299.0,1.0 un
2026-03-15,Fideo tallarin Bulnez en paquete 500 g.,Bulnez,839.0,1.0 un
2026-03-15,Harina de trigo Bulnez 000 1 kg,Bulnez,789.0,1.0 un
2026-03-15,Aceitunas negras Carrefour Classic doypack 180 grs,Carrefour,2622.6,1.0 un
2026-03-15,Polvo para hornear Carrefour Classic 50 grs,Carrefour,1002.8,1.0 un
2026-03-15,Bicarbonato de sodio Carrefour Classic 50 g.,Carrefour,687.27,1.0 un
2026-03-15,Fideos nido huevo Carrefour Classic 500 g.,Carrefour,2340.6,1.0 un
2026-03-15,Escencia de vainilla Carrefour Classic en botella 110 cc.,Carrefour,1071.0,1.0 un
2026-03-15,Puré de tomates Bulnez 520 g.,Bulnez,799.0,1.0 un
2026-03-15,Salsa filetto Knorr 340 g.,Knorr,1499.0,1.0 un
2026-03-15,Salsa pomarola tradicional Knorr 340 g.,Knorr,1499.0,1.0 un
2026-03-15,Salsa pizza Knorr 340 g.,Knorr,1499.0,1.0 un
2026-03-15,Caldo de carne Knorr en cubos 12 uni,Knorr,2725.0,1.0 un
2026-03-15,Premezcla para pizza pan Puereza sin tacc 500 g.,Pureza,3869.0,1.0 un
2026-03-15,Fideos tirabuzón Don bernabeu 500 g.,Don Bernabeu,699.0,1.0 un
2026-03-15,Fideos mostachole Don bernabeu 500 g.,Don Bernabeu,699.0,1.0 un
2026-03-15,Fideos tallarin Don bernabeu 500 g.,Don Bernabeu,699.0,1.0 un
2026-03-15,Pimienta negra Carrefour classic en sobre 25 g.,Carrefour,1341.0,1.0 un
2026-03-15,Rebozador Preferido crunch 450 g.,Preferido,2799.0,1.0 un
2026-03-15,Bizcochuelo Exquisita de chocolate 540 g.,Exquisita,4199.0,1.0 un
2026-03-15,Gelatina light Exquisita de durazno 25 g.,Exquisita,1200.0,1.0 un
2026-03-15,Arroz parboil Gallo oro en bolsa 500 g.,Gallo,1319.0,1.0 un
