Date,Product,Brand,Price,List_Price,Unit
2026-07-01,puré de tomate carrefour classic 520 g.,carrefour,863.1,959.0,1.0 un
2026-07-01,lomito de atún al natural carrefour classic 170 grs,carrefour,3210.8,3490.0,1.0 un
2026-07-01,puré de tomate arcor brik 520 g.,arcor,1107.69,1107.69,1.0 un
2026-07-01,tomate perita entero carrefour classic en lata 400 g.,carrefour,1212.6,1290.0,1.0 un
2026-07-01,caldo knorr de verdura deshidratado 12 cubos,knorr,2990.0,2990.0,1.0 un
2026-07-01,fideos tallarin n5 lucchetti 500 g.,matarazzo,1484.62,1699.0,1.0 un
2026-07-01,fideos tirabuzon n28 lucchetti 500 g.,luchetti,1645.0,1645.0,1.0 un
2026-07-01,arroz parboil gallo oro en bolsa 1 kg,gallo,2723.08,2723.08,1.0 un
2026-07-01,aceite de girasol carrefour classic  alto omega pet 900 cc.,carrefour,3431.0,3650.0,1.0 un
2026-07-01,aceite de girasol alto omega carrefour classic pet 1.5 lts,carrefour,5405.0,5750.0,1.0 un
2026-07-01,lomito de atún en aceite carrefour classic 170 grs,carrefour,3210.8,3490.0,1.0 un
2026-07-01,arroz largo fino molinos ala 1 kg.,molinos ala,1950.0,1950.0,1.0 un
2026-07-01,choclo en granos carrefour classic en lata 280 grs,carrefour,920.7,990.0,1.0 un
2026-07-01,harina leudante chacabuco 1 kg,chacabuco,1579.0,1579.0,1.0 un
2026-07-01,lentejas carrefour classic 400 g.,carrefour,1334.0,1450.0,1.0 un
2026-07-01,puré de tomate la campagnola tetra 530 g.,la campagnola,1219.0,1219.0,1.0 un
2026-07-01,polenta instantánea presto pronta en bolsa 490 g.,presto pronta,1599.0,1599.0,1.0 un
2026-07-01,arroz largo fino 00000 carrefour classic en bolsa 1 kg.,carrefour,1242.0,1350.0,1.0 un
2026-07-01,harina leudante blancaflor 1 kg.,blancaflor,2238.0,2238.0,1.0 un
2026-07-01,choclo amarillo en granos carrefour classic 300 grs,carrefour,1385.7,1490.0,1.0 un
2026-07-01,arvejas secas remojadas carrefour classic en lata 300 g.,carrefour,595.41,669.0,1.0 un
2026-07-01,fideos tallarines don vicente en bolsa 500 g.,don vicente,3675.0,3675.0,1.0 un
2026-07-01,fideos spaghetti n3 matarazzo 500 g.,matarazzo,1899.0,1899.0,1.0 un
2026-07-01,fideos spaghetti n7 lucchetti 500 g.,lucchetti,1484.62,1699.0,1.0 un
2026-07-01,fideos mostacholes n52 lucchetti rayado 500 g.,lucchetti,1699.0,1699.0,1.0 un
2026-07-01,fideos mostacholes n52 matarazzo rayado 500 g.,matarazzo,1899.0,1899.0,1.0 un
2026-07-01,fideos tirabuzón terrabusi 3 vegetales 500 g.,terrabusi,1189.0,1189.0,1.0 un
2026-07-01,mayonesa liviana hellmanns dp 475 g,hellmanns,2999.0,2999.0,1.0 un
2026-07-01,mostaza savora original doypack 250 g.,savora,1295.0,1729.0,1.0 un
2026-07-01,ketchup hellmanns regular doypack 250 g.,hellmanns,1964.25,2619.0,1.0 un
2026-07-01,polenta instantánea presto pronta bolsa 730 g.,presto pronta,2299.0,2299.0,1.0 un
2026-07-01,mayonesa clásica hellmanns sin tacc doypack 475 g.,hellmanns,2249.0,2999.0,1.0 un
2026-07-01,harina de trigo morixe 0000 1 kg.,morixe,1369.0,1369.0,1.0 un
2026-07-01,harina de trigo morixe 000 1 kg.,morixe,699.0,1049.0,1.0 un
2026-07-01,fideos tirabuzones favorita fortificado 500 g.,favorita,999.0,999.0,1.0 un
2026-07-01,harina pureza especial para pizzas 1 kg.,pureza,2200.0,2200.0,1.0 un
2026-07-01,aceite en aerosol carrefour classic girasol 150 cc.,carrefour,3994.9,4390.0,1.0 un
2026-07-01,aceite de girasol cañuelas 1.5 l.,cañuelas,6529.0,6529.0,1.0 un
2026-07-01,mayonesa natura 475 g.,natura,3039.0,3039.0,1.0 un
2026-07-01,arroz molinos ala parboil bolsa 1 kg.,molinos ala,2290.0,2290.0,1.0 un
