Date,Product,Brand,Price,List_Price,Unit
2026-04-19,lomitos de atún carrefour al natural 170 g.,carrefour,2934.8,3190.0,1.0 un
2026-04-19,caldo knorr de verdura deshidratado 12 cubos,knorr,2725.0,2725.0,1.0 un
2026-04-19,choclo en granos amarillo carrefour classic en lata 300 g.,carrefour,1013.7,1090.0,1.0 un
2026-04-19,arroz parboil gallo oro en bolsa 1 kg.,gallo,2500.0,2500.0,1.0 un
2026-04-19,mayonesa hellmanns liviana doypack 475 g.,hellmanns,2100.0,2800.0,1.0 un
2026-04-19,aceite de girasol carrefour classic  alto omega pet 900 cc.,carrefour,3092.6,3290.0,1.0 un
2026-04-19,mayonesa clásica hellmanns sin tacc doypack 475 g.,hellmanns,2166.75,2889.0,1.0 un
2026-04-19,puré de tomate carrefour classic 520 g.,carrefour,791.1,879.0,1.0 un
2026-04-19,aceite de girasol cañuelas 1.5 l.,cañuelas,6200.0,6200.0,1.0 un
2026-04-19,lomitos de atún carrefour en aceite 170 g.,carrefour,2934.8,3190.0,1.0 un
2026-04-19,arroz largo fino molinos ala 1 kg.,molinos ala,1790.0,1790.0,1.0 un
2026-04-19,aceite de girasol natura 1.5 l.,natura,6639.0,6639.0,1.0 un
2026-04-19,puré de tomate carrefour classic tetra 520 grs,carrefour,817.47,879.0,1.0 un
2026-04-19,puré de tomate arcor brik 520 g.,arcor,1029.0,1029.0,1.0 un
2026-04-19,lentejas carrefour classic 400 g.,carrefour,1554.8,1690.0,1.0 un
2026-04-19,tomate perita entero carrefour classic en lata 400 cc.,carrefour,1024.6,1090.0,1.0 un
2026-04-19,sal fina bulnez en bolsa 500 g.,bulnez,999.0,999.0,1.0 un
2026-04-19,arroz largo fino 00000 carrefour classic en bolsa 1 kg.,carrefour,1370.8,1490.0,1.0 un
2026-04-19,arvejas secas remojadas carrefour classic en lata 300 g.,carrefour,586.51,659.0,1.0 un
2026-04-19,garbanzos secos remojados carrefour classic en lata 300 g.,carrefour,806.6,1090.0,1.0 un
2026-04-19,fideos tallarines don vicente en bolsa 500 g.,don vicente,3399.0,3399.0,1.0 un
2026-04-19,fideos tirabuzones n28 matarazzo 500 g.,matarazzo,1849.0,1849.0,1.0 un
2026-04-19,fideos spaghetti n3 matarazzo 500 g.,matarazzo,1849.0,1849.0,1.0 un
2026-04-19,avena instantanea morixe 400 g.,morixe,2195.0,2195.0,1.0 un
2026-04-19,fideos tallarin n5 lucchetti 500 g.,matarazzo,1499.0,1499.0,1.0 un
2026-04-19,fideos tirabuzon n28 lucchetti 500 g.,luchetti,1499.0,1499.0,1.0 un
2026-04-19,fideos mostacholes n52 lucchetti rayado 500 g.,lucchetti,1499.0,1499.0,1.0 un
2026-04-19,puré de tomate bulnez tetra 520 g.,bulnez,789.0,789.0,1.0 un
2026-04-19,mostaza savora oiginal doypack 500 g.,savora,2899.0,2899.0,1.0 un
2026-04-19,ketchup hellmanns regular doypack 250 g.,hellmanns,1699.0,2270.0,1.0 un
2026-04-19,polenta instantánea presto pronta bolsa 730 g.,presto pronta,2189.0,2189.0,1.0 un
2026-04-19,fideos guiseros moño carrefour classic 500 g.,carrefour,1478.7,1590.0,1.0 un
2026-04-19,caldo de verdura maggi 12 uni,maggi,1210.3,1729.0,1.0 un
2026-04-19,tomate triturado carrefour 970 cc.,carrefour,2222.7,2390.0,1.0 un
2026-04-19,vinagre de alcohol casalta 1 l.,casalta,1565.0,1565.0,1.0 un
