Date,Product,Brand,Price,List_Price,Unit
2026-04-26,lomito de atún al natural carrefour classic 170 grs,carrefour,2898.0,3150.0,1.0 un
2026-04-26,puré de tomate arcor brik 520 g.,arcor,1029.0,1029.0,1.0 un
2026-04-26,choclo amarillo en granos carrefour classic 300 grs,carrefour,1069.5,1150.0,1.0 un
2026-04-26,arroz parboil gallo oro en bolsa 1 kg.,gallo,2500.0,2500.0,1.0 un
2026-04-26,mayonesa clásica hellmanns sin tacc doypack 475 g.,hellmanns,2889.0,2889.0,1.0 un
2026-04-26,aceite de girasol alto omega carrefour classic pet 1.5 lts,carrefour,5029.0,5350.0,1.0 un
2026-04-26,puré de tomate carrefour classic 520 g.,carrefour,791.1,879.0,1.0 un
2026-04-26,aceite de girasol cañuelas 1.5 l.,cañuelas,5919.0,5919.0,1.0 un
2026-04-26,mayonesa natura 475 g.,natura,2855.0,2855.0,1.0 un
2026-04-26,lomito de atún en aceite carrefour classic 170 grs,carrefour,2898.0,3150.0,1.0 un
2026-04-26,arroz largo fino molinos ala 1 kg.,molinos ala,1790.0,1790.0,1.0 un
2026-04-26,aceite de girasol natura 1.5 l.,natura,6639.0,6639.0,1.0 un
2026-04-26,puré de tomate carrefour classic tetra 520 grs,carrefour,817.47,879.0,1.0 un
2026-04-26,aceite de girasol carrefour classic pet 900 ml,carrefour,3055.0,3250.0,1.0 un
2026-04-26,lentejas carrefour classic 400 g.,carrefour,1702.0,1850.0,1.0 un
2026-04-26,tomate perita entero carrefour classic en lata 400 g.,carrefour,1024.6,1090.0,1.0 un
2026-04-26,puré de tomate la campagnola tetra 530 g.,la campagnola,1135.0,1135.0,1.0 un
2026-04-26,sal fina bulnez en bolsa 500 g.,bulnez,999.0,999.0,1.0 un
2026-04-26,caldo knorr de verdura deshidratado 12 cubos,knorr,2725.0,2725.0,1.0 un
2026-04-26,arroz largo fino 00000 carrefour classic en bolsa 1 kg.,carrefour,1370.8,1490.0,1.0 un
2026-04-26,arvejas secas remojadas carrefour classic en lata 300 g.,carrefour,586.51,659.0,1.0 un
2026-04-26,garbanzos secos remojados carrefour classic en lata 300 g.,carrefour,777.0,1050.0,1.0 un
2026-04-26,fideos tallarines don vicente en bolsa 500 g.,don vicente,3399.0,3399.0,1.0 un
2026-04-26,fideos tirabuzones n28 matarazzo 500 g.,matarazzo,1849.0,1849.0,1.0 un
2026-04-26,avena instantanea morixe 400 g.,morixe,2195.0,2195.0,1.0 un
2026-04-26,fideos tallarin n5 lucchetti 500 g.,matarazzo,1499.0,1499.0,1.0 un
2026-04-26,fideos tirabuzon n28 lucchetti 500 g.,luchetti,1499.0,1499.0,1.0 un
2026-04-26,fideos mostacholes n52 lucchetti rayado 500 g.,lucchetti,1499.0,1499.0,1.0 un
2026-04-26,puré de tomate bulnez tetra 520 g.,bulnez,789.0,789.0,1.0 un
2026-04-26,mayonesa liviana hellmanns dp 475 g,hellmanns,2800.0,2800.0,1.0 un
2026-04-26,ketchup hellmanns regular doypack 250 g.,hellmanns,2270.0,2270.0,1.0 un
2026-04-26,polenta instantánea presto pronta bolsa 730 g.,presto pronta,2189.0,2189.0,1.0 un
2026-04-26,harina de trigo 0000 chacabuco 1 kg.,chacabuco,966.75,1289.0,1.0 un
2026-04-26,caldo de verdura maggi 12 uni,maggi,1729.0,1729.0,1.0 un
2026-04-26,harina de trigo morixe 0000 1 kg.,morixe,1299.0,1299.0,1.0 un
2026-04-26,harina de trigo morixe 000 1 kg.,morixe,979.0,979.0,1.0 un
2026-04-26,puré de papas instantáneo carrefour classic 100 g.,carrefour,1161.0,1290.0,1.0 un
2026-04-26,fideos tirabuzones favorita fortificado 500 g.,favorita,723.75,965.0,1.0 un
2026-04-26,fideos spaghetti fortificado favorita 500 g.,favorita,723.75,965.0,1.0 un
2026-04-26,harina de trigo 000 caserita x 1 kg,caserita,899.0,899.0,1.0 un
2026-04-26,aceitunas verdes descarozadas nucete dp 220 grs,nucete,1949.0,1949.0,1.0 un
2026-04-26,fideo tirabuzones bulnez en paquete 500 g.,bulnez,799.0,799.0,1.0 un
2026-04-26,fideo spaghetti bulnez en paquete 500 g.,bulnez,859.0,859.0,1.0 un
2026-04-26,fideos mostachol bulnez en paquete 500 g.,bulnez,799.0,799.0,1.0 un
2026-04-26,atún en trozos al natural bulnez en lata 170 g.,bulnez,2690.0,2690.0,1.0 un
2026-04-26,tomate perita entero bulnez en lata 400 g.,bulnez,949.0,949.0,1.0 un
2026-04-26,puré de tomates bulnez 520 g.,bulnez,789.0,789.0,1.0 un
2026-04-26,salsa pizza knorr 340 g.,knorr,1450.0,1450.0,1.0 un
2026-04-26,avena instantanea carrefour classic pouch 300 g.,carrefour,1385.7,1490.0,1.0 un
2026-04-26,orégano el mercado 50 g.,el mercado,929.0,929.0,1.0 un
2026-04-26,provenzal el mercado 50 g.,el mercado,829.0,929.0,1.0 un
2026-04-26,caldo knorr de gallina deshidratado 12 cubos.,knorr,2725.0,2725.0,1.0 un
2026-04-26,polenta instantánea presto pronta en bolsa 490 g.,presto pronta,1500.0,1500.0,1.0 un
2026-04-26,arroz parboil carrefour classic en bolsa 1 kg.,carrefour,1870.6,1990.0,1.0 un
2026-04-26,arroz integral gallo en bolsa 500 g.,gallo,1340.0,1340.0,1.0 un
2026-04-26,harina leudante blancaflor 1 kg.,blancaflor,1985.0,1985.0,1.0 un
2026-04-26,choclo amarillo cremoso carrefour classic 300 grs,carrefour,909.09,999.0,1.0 un
